date,time,speed,lane,auto
2020-10-06,11:28:21,14.0,0,0
2020-10-06,11:28:22,9.0,0,0
2020-10-06,11:28:23,3.0,0,0
2020-10-06,11:28:24,0.0,0,0
2020-10-06,11:28:25,0.0,0,0
2020-10-06,11:28:26,0.0,0,0
2020-10-06,11:28:27,0.0,0,0
2020-10-06,11:28:28,0.0,0,0
2020-10-06,11:28:29,0.0,0,0
2020-10-06,11:28:30,0.0,0,0
2020-10-06,11:28:31,0.0,0,0
2020-10-06,11:28:32,0.0,0,0
2020-10-06,11:28:33,0.0,0,0
2020-10-06,11:28:34,0.0,0,0
2020-10-06,11:28:35,0.0,0,0
2020-10-06,11:28:36,0.0,0,0
2020-10-06,11:28:37,0.0,0,0
2020-10-06,11:28:38,0.0,0,0
2020-10-06,11:28:39,0.0,0,0
2020-10-06,11:28:40,0.0,0,0
2020-10-06,11:28:41,0.0,0,0
2020-10-06,11:28:42,0.0,0,0
2020-10-06,11:28:43,0.0,0,0
2020-10-06,11:28:44,0.0,0,0
2020-10-06,11:28:45,0.0,0,0
2020-10-06,11:28:46,0.0,0,0
2020-10-06,11:28:48,0.0,0,0
2020-10-06,11:28:49,0.0,0,0
2020-10-06,11:28:50,0.0,0,0
2020-10-06,11:28:51,0.0,0,0
2020-10-06,11:28:52,0.0,0,0
2020-10-06,11:28:53,3.0,0,0
2020-10-06,11:28:54,7.0,0,0
2020-10-06,11:28:55,12.0,0,0
2020-10-06,11:28:56,17.0,0,0
2020-10-06,11:28:57,22.0,0,0
2020-10-06,11:28:58,25.0,0,0
2020-10-06,11:28:59,27.0,0,0
2020-10-06,11:29:00,30.0,0,0
2020-10-06,11:29:00,31.0,0,0
2020-10-06,11:29:01,33.0,0,0
2020-10-06,11:29:02,35.0,0,0
2020-10-06,11:29:03,35.0,0,0
2020-10-06,11:29:04,36.0,0,0
2020-10-06,11:29:05,36.0,0,0
2020-10-06,11:29:06,38.0,0,0
2020-10-06,11:29:07,38.0,0,0
2020-10-06,11:29:08,36.0,0,0
2020-10-06,11:29:09,32.0,0,0
2020-10-06,11:29:10,31.0,0,0
2020-10-06,11:29:11,26.0,0,0
2020-10-06,11:29:12,15.0,0,0
2020-10-06,11:29:13,14.0,0,0
2020-10-06,11:29:14,3.0,0,0
2020-10-06,11:29:15,0.0,0,0
2020-10-06,11:29:16,0.0,0,0
2020-10-06,11:29:17,0.0,0,0
2020-10-06,11:29:18,0.0,0,0
2020-10-06,11:29:19,0.0,0,0
2020-10-06,11:29:20,0.0,0,0
2020-10-06,11:29:21,0.0,0,0
2020-10-06,11:29:22,0.0,0,0
2020-10-06,11:29:23,0.0,0,0
2020-10-06,11:29:24,0.0,0,0
2020-10-06,11:29:25,0.0,0,0
2020-10-06,11:29:26,0.0,0,0
2020-10-06,11:29:27,0.0,0,0
2020-10-06,11:29:28,0.0,0,0
2020-10-06,11:29:29,0.0,0,0
2020-10-06,11:29:30,0.0,0,0
2020-10-06,11:29:31,0.0,0,0
2020-10-06,11:29:32,0.0,0,0
2020-10-06,11:29:33,0.0,0,0
2020-10-06,11:29:34,0.0,0,0
2020-10-06,11:29:35,0.0,0,0
2020-10-06,11:29:36,0.0,0,0
2020-10-06,11:29:37,0.0,0,0
2020-10-06,11:29:38,0.0,0,0
2020-10-06,11:29:39,0.0,0,0
2020-10-06,11:29:40,0.0,0,0
2020-10-06,11:29:41,0.0,0,0
2020-10-06,11:29:42,0.0,0,0
2020-10-06,11:29:43,0.0,0,0
2020-10-06,11:29:44,0.0,0,0
2020-10-06,11:29:45,0.0,0,0
2020-10-06,11:29:46,0.0,0,0
