,rtime,lkas,ldws,distance,speed,latitude,longtitude
132,2020-11-07 13:43:09,0,1,22.06,60,37.2770448,127.1035377
133,2020-11-07 13:43:10,0,1,23.66,62,37.27689631,127.103548
134,2020-11-07 13:43:11,0,1,25.81,63,37.27674537,127.1035558
135,2020-11-07 13:43:12,1,1,25.49,65,37.276589,127.10356370000001
136,2020-11-07 13:43:13,1,1,27.96,67,37.27642239,127.10357250000001
137,2020-11-07 13:43:14,1,1,28.34,69,37.27625532,127.10357890000002
138,2020-11-07 13:43:15,1,1,28.74,71,37.27607837,127.1035812
139,2020-11-07 13:43:16,1,1,26.15,73,37.27588915,127.1035804
140,2020-11-07 13:43:17,1,1,26.49,75,37.27568957,127.10358020000001
141,2020-11-07 13:43:18,1,1,25.81,76,37.27549481,127.10358049999999
142,2020-11-07 13:43:19,1,1,23.66,78,37.27530124,127.10358090000001
143,2020-11-07 13:43:20,1,1,22.32,78,37.27511151,127.10358459999999
144,2020-11-07 13:43:21,1,1,20.42,77,37.27492306,127.1035875
145,2020-11-07 13:43:22,1,1,20.42,76,37.27473664,127.10358970000001
146,2020-11-07 13:43:23,1,1,19.18,75,37.27454869,127.1035908
147,2020-11-07 13:43:24,1,1,20.0,75,37.27436339,127.1035936
148,2020-11-07 13:43:25,1,1,18.07,75,37.27417624,127.10359140000001
149,2020-11-07 13:43:26,1,1,19.38,76,37.27399511,127.10359229999999
150,2020-11-07 13:43:27,1,1,18.8,76,37.27381018,127.10359369999999
151,2020-11-07 13:43:28,1,1,19.38,77,37.27362199,127.1035953
152,2020-11-07 13:43:29,1,1,19.38,78,37.27342987,127.1035952
153,2020-11-07 13:43:30,1,1,17.55,79,37.27323598,127.10359650000001
154,2020-11-07 13:43:31,1,1,19.38,79,37.27304627,127.1035992
155,2020-11-07 13:43:32,1,1,18.8,79,37.27285356,127.1035993
156,2020-11-07 13:43:33,1,1,18.25,79,37.27266343,127.103598
157,2020-11-07 13:43:34,1,1,17.89,78,37.27247209,127.103598
158,2020-11-07 13:43:35,1,1,17.72,78,37.27227933,127.1035986
159,2020-11-07 13:43:36,1,1,18.25,78,37.27209005,127.103604
160,2020-11-07 13:43:37,1,1,18.99,78,37.27190189,127.1036121
