date,time,distance
2020-11-07,13:41:11,4.9
2020-11-07,13:41:11,5.15
2020-11-07,13:41:11,5.02
2020-11-07,13:41:11,5.28
2020-11-07,13:41:11,5.2
2020-11-07,13:41:11,5.28
2020-11-07,13:41:11,5.44
2020-11-07,13:41:12,5.55
2020-11-07,13:41:12,5.55
2020-11-07,13:41:12,5.58
2020-11-07,13:41:12,5.75
2020-11-07,13:41:12,5.9
2020-11-07,13:41:12,5.96
2020-11-07,13:41:12,6.02
2020-11-07,13:41:12,6.05
2020-11-07,13:41:12,6.42
2020-11-07,13:41:12,6.45
2020-11-07,13:41:13,6.35
2020-11-07,13:41:13,6.63
2020-11-07,13:41:13,6.96
2020-11-07,13:41:13,6.77
2020-11-07,13:41:13,6.96
2020-11-07,13:41:13,7
2020-11-07,13:41:13,7.2
2020-11-07,13:41:13,7.4
2020-11-07,13:41:13,7.66
2020-11-07,13:41:13,7.79
2020-11-07,13:41:14,7.93
2020-11-07,13:41:14,8.12
2020-11-07,13:41:14,8.37
2020-11-07,13:41:14,8.37
2020-11-07,13:41:14,8.68
2020-11-07,13:41:14,8.52
2020-11-07,13:41:14,8.62
2020-11-07,13:41:14,8.89
2020-11-07,13:41:14,9
2020-11-07,13:41:14,9.17
2020-11-07,13:41:15,9.23
2020-11-07,13:41:15,9.23
2020-11-07,13:41:15,9.41
2020-11-07,13:41:15,9.29
2020-11-07,13:41:15,9.35
2020-11-07,13:41:15,9.47
2020-11-07,13:41:15,9.59
2020-11-07,13:41:15,9.53
2020-11-07,13:41:15,9.53
2020-11-07,13:41:15,9.98
2020-11-07,13:41:16,9.78
2020-11-07,13:41:16,9.85
2020-11-07,13:41:16,9.85
2020-11-07,13:41:16,9.78
2020-11-07,13:41:16,9.85
2020-11-07,13:41:16,9.98
2020-11-07,13:41:16,9.98
2020-11-07,13:41:16,9.91
2020-11-07,13:41:16,9.91
2020-11-07,13:41:16,9.91
2020-11-07,13:41:17,9.85
2020-11-07,13:41:17,10.04
2020-11-07,13:41:17,10.18
2020-11-07,13:41:17,10.11
2020-11-07,13:41:17,10.18
2020-11-07,13:41:17,10.18
2020-11-07,13:41:17,10.18
2020-11-07,13:41:17,10.25
2020-11-07,13:41:17,10.39
2020-11-07,13:41:17,10.32
2020-11-07,13:41:18,10.25
2020-11-07,13:41:18,10.39
2020-11-07,13:41:18,10.46
2020-11-07,13:41:18,10.53
2020-11-07,13:41:18,10.25
2020-11-07,13:41:18,10.32
2020-11-07,13:41:18,10.39
2020-11-07,13:41:18,9.98
2020-11-07,13:41:18,10.04
2020-11-07,13:41:18,10.46
2020-11-07,13:41:18,10.46
2020-11-07,13:41:19,10.25
2020-11-07,13:41:19,10.46
2020-11-07,13:41:19,10.67
2020-11-07,13:41:19,10.32
2020-11-07,13:41:19,10.6
2020-11-07,13:41:19,10.6
2020-11-07,13:41:19,10.67
2020-11-07,13:41:19,10.39
2020-11-07,13:41:19,10.6
2020-11-07,13:41:20,10.53
2020-11-07,13:41:20,10.53
2020-11-07,13:41:20,10.46
2020-11-07,13:41:20,10.32
2020-11-07,13:41:20,10.18
2020-11-07,13:41:20,10.04
2020-11-07,13:41:20,10.04
2020-11-07,13:41:20,10.11
2020-11-07,13:41:20,10.11
2020-11-07,13:41:20,10.32
2020-11-07,13:41:21,10.25
2020-11-07,13:41:21,10.18
2020-11-07,13:41:21,10.04
2020-11-07,13:41:21,9.85
2020-11-07,13:41:21,9.78
2020-11-07,13:41:21,9.53
2020-11-07,13:41:21,9.53
2020-11-07,13:41:21,9.35
2020-11-07,13:41:21,9.41
2020-11-07,13:41:21,8.95
2020-11-07,13:41:22,9.23
2020-11-07,13:41:22,9.06
2020-11-07,13:41:22,8.84
2020-11-07,13:41:22,8.73
2020-11-07,13:41:22,8.68
2020-11-07,13:41:22,8.52
2020-11-07,13:41:22,8.47
2020-11-07,13:41:22,8.47
2020-11-07,13:41:22,8.17
2020-11-07,13:41:22,8.07
2020-11-07,13:41:23,7.98
2020-11-07,13:41:23,7.88
2020-11-07,13:41:23,7.79
2020-11-07,13:41:29,7.7
2020-11-07,13:41:29,7.44
2020-11-07,13:41:29,7.24
2020-11-07,13:41:29,7.24
2020-11-07,13:41:29,7.24
2020-11-07,13:41:29,7.16
2020-11-07,13:41:29,7.04
2020-11-07,13:41:29,7.16
2020-11-07,13:41:29,7.08
2020-11-07,13:41:30,6.92
2020-11-07,13:41:30,7
2020-11-07,13:41:30,6.81
2020-11-07,13:41:30,6.81
2020-11-07,13:41:30,7.04
2020-11-07,13:41:30,7.12
2020-11-07,13:41:30,7.04
2020-11-07,13:41:30,7.32
2020-11-07,13:41:30,7.32
2020-11-07,13:41:30,7.24
2020-11-07,13:41:30,7.24
2020-11-07,13:41:31,7.44
2020-11-07,13:41:31,7.7
2020-11-07,13:41:31,8.02
2020-11-07,13:41:31,7.84
2020-11-07,13:41:31,8.22
2020-11-07,13:41:31,8.22
2020-11-07,13:41:31,8.47
2020-11-07,13:41:31,8.37
2020-11-07,13:41:31,8.84
2020-11-07,13:41:31,8.89
2020-11-07,13:41:32,9.23
2020-11-07,13:41:32,9.35
2020-11-07,13:41:32,9.72
2020-11-07,13:41:32,9.72
2020-11-07,13:41:32,9.53
2020-11-07,13:41:32,9.66
2020-11-07,13:41:32,9.59
2020-11-07,13:41:32,9.72
2020-11-07,13:41:32,9.98
2020-11-07,13:41:32,10.18
2020-11-07,13:41:33,10.11
2020-11-07,13:41:33,10.32
2020-11-07,13:41:33,10.32
2020-11-07,13:41:33,10.46
2020-11-07,13:41:33,10.32
2020-11-07,13:41:33,10.32
2020-11-07,13:41:33,10.39
2020-11-07,13:41:33,10.18
2020-11-07,13:41:33,10.18
2020-11-07,13:41:33,10.25
2020-11-07,13:41:34,10.53
2020-11-07,13:41:34,10.53
2020-11-07,13:41:34,10.67
2020-11-07,13:41:34,10.82
2020-11-07,13:41:34,10.6
2020-11-07,13:41:34,10.67
2020-11-07,13:41:34,10.82
2020-11-07,13:41:34,10.82
2020-11-07,13:41:34,11.13
2020-11-07,13:41:34,10.75
2020-11-07,13:41:35,11.13
2020-11-07,13:41:35,10.9
2020-11-07,13:41:35,10.97
2020-11-07,13:41:35,10.67
2020-11-07,13:41:35,10.53
2020-11-07,13:41:35,10.39
2020-11-07,13:41:35,10.67
2020-11-07,13:41:35,10.67
2020-11-07,13:41:35,10.75
2020-11-07,13:41:35,10.9
2020-11-07,13:41:36,10.67
2020-11-07,13:41:36,10.25
2020-11-07,13:41:36,10.18
2020-11-07,13:41:36,10.25
2020-11-07,13:41:36,10.25
2020-11-07,13:41:36,10.18
2020-11-07,13:41:36,9.98
2020-11-07,13:41:36,9.91
2020-11-07,13:41:36,9.78
2020-11-07,13:41:36,9.72
2020-11-07,13:41:37,9.85
2020-11-07,13:41:37,9.35
2020-11-07,13:41:37,9.35
2020-11-07,13:41:37,9.35
2020-11-07,13:41:37,9.23
2020-11-07,13:41:37,9
2020-11-07,13:41:37,8.84
2020-11-07,13:41:37,8.62
2020-11-07,13:41:37,8.57
2020-11-07,13:41:37,8.52
2020-11-07,13:41:38,8.37
2020-11-07,13:41:38,8.07
2020-11-07,13:41:38,7.88
2020-11-07,13:41:38,7.53
